badge-info,emote-only,badges,emotes,room-id,client-nonce,user-type,tmi-sent-ts,mod,user-id,flags,turbo,display-name,subscriber,id,message,color
subscriber/1,1,subscriber/0,25:0-4,127550308,09b8128f063b62f7942334efb9a66909,,1595816099308,0,430645544,,0,sophiexbc,1,79f7b57f-e341-4f7a-baed-2f4af2842d87,Kappa,#1E90FF
,,premium/1,25:4-8,127550308,4f32226107d3c55d19776502289d4dc2,,1595816099422,0,72104509,,0,dougie___jones,0,cf73e3c1-ce4e-4b46-9f2f-c61a0992ef2a,lag Kappa,#00FF7F
,,bits-charity/1,,127550308,185dee001c30ccb0fadc56f02d13e8b0,,1595816099572,0,148564215,,0,coffeeindex,0,63c97135-ac87-466e-8683-00168f2a629e,L OMEGALUL G,#4C3D30
,1,,25:0-4,127550308,a270a675bf2b23165cd938e47c0caf5b,,1595816099785,0,68412986,,0,AmazonESP,0,3dd26b43-94ef-4f52-b02b-0c37d912db57,Kappa,#1E90FF
subscriber/1,,subscriber/0,25:0-4,127550308,a7c8803dc1952befc7af87e3fbf998e4,,1595816100038,0,36029783,,0,Deflecti0n,1,29a116c0-c9a2-4db5-985b-c1f6420575ed,Kappa lag,#FF0000
subscriber/1,,subscriber/0,,127550308,7fd5330dbaebcb8c5ea041cfe28f5ebf,,1595816100393,0,187748286,,0,Dortok,1,35ee1917-0e1f-4b9f-b93a-c030d740bd66,YEP lag,#8A2BE2
subscriber/2,,"subscriber/0,premium/1",,127550308,d016325ea59d18b1b3c47ebd9a45e82d,,1595816100907,0,58745385,,0,danification9,1,98ea9d04-e3c0-4fb9-8de6-f053ea13f8a7,Sadge,
subscriber/2,,subscriber/0,,127550308,fb41538db686b39f413eda0af42cec1c,,1595816101643,0,43658581,,0,pab1994,1,35ed9d06-f3cd-41c4-9fcd-3d25dc94fd5a,yup,
,,,,127550308,8163a20dc852d1e8cc783411b38b22b4,,1595816101637,0,164828199,,0,aa175,0,83da06ce-193a-4b9c-b7da-35b65a1b5ff2,g3 rooooooooooook @BotezLive,
subscriber/1,,subscriber/0,,127550308,c83235028c79087d0146bb8735412f87,,1595816102163,0,25101760,,0,vespereq_,1,b1673d7c-a049-46c9-bae0-f56bfaa7ac2e,It's t h e wine,
